Uniprot	Description	Names
P13598	ICAM2_HUMAN	ICAM2
P17813	EGLN_HUMAN	ENG
P11279	LAMP1_HUMAN	LAMP1
Q6YHK3	CD109_HUMAN	CD109
P40238	TPOR_HUMAN	MPL
P20701	ITAL_HUMAN	ITGAL
P11215	ITAM_HUMAN	ITGAM
P20702	ITAX_HUMAN	ITGAX
P08571	CD14_HUMAN	CD14
P07204	TRBM_HUMAN	THBD
P12821	ACE_HUMAN	ACE
P33151	CADH5_HUMAN	CDH5
P35613	BASI_HUMAN	BSG
Q12913	PTPRJ_HUMAN	PTPRJ
P48509	CD151_HUMAN	CD151
P29965	CD40L_HUMAN	CD40LG
O14672	ADA10_HUMAN	ADAM10
P08637	FCG3A_HUMAN	FCGR3A
O75015	FCG3B_HUMAN	FCGR3B
P15814	IGLL1_HUMAN	IGLL1
P05107	ITB2_HUMAN	ITGB2
P61073	CXCR4_HUMAN	CXCR4
P13164	IFM1_HUMAN	IFITM1
Q15762	CD226_HUMAN	CD226
P04156	PRIO_HUMAN	PRNP
P02730	B3AT_HUMAN	SLC4A1
P02724	GLPA_HUMAN	GYPA
P04921	GLPC_HUMAN	GYPC
P50895	BCAM_HUMAN	BCAM
P18577	RHCE_HUMAN	RHCE
P05556	ITB1_HUMAN	ITGB1
P54709	AT1B3_HUMAN	ATP1B3
P16284	PECA1_HUMAN	PECAM1
Q9Y624	JAM1_HUMAN	F11R
P12318	FCG2A_HUMAN	FCGR2A
P12830	CADH1_HUMAN	CDH1
P28906	CD34_HUMAN	CD34
P17927	CR1_HUMAN	CR1
P16671	CD36_HUMAN	CD36
P25942	TNR5_HUMAN	CD40
P08514	ITA2B_HUMAN	ITGA2B
P14770	GPIX_HUMAN	GP9
P07359	GP1BA_HUMAN	GP1BA
P13224	GP1BB_HUMAN	GP1BB
P40197	GPV_HUMAN	GP5
P16150	LEUK_HUMAN	SPN
P16070	CD44_HUMAN	CD44
P08575	PTPRC_HUMAN	PTPRC
P15529	MCP_HUMAN	CD46
